city,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,wind_gusts_10m_max
Ho Chi Minh City,10.82,106.63,2019-01-01,29.3,23.0,25.5,0.3,9.59,24.9,39.6
Ho Chi Minh City,10.82,106.63,2019-01-02,25.5,22.0,23.7,8.1,5.85,18.8,42.5
Ho Chi Minh City,10.82,106.63,2019-01-03,30.2,21.8,25.8,1.5,16.44,24.9,58.3
Ho Chi Minh City,10.82,106.63,2019-01-04,30.9,23.4,27.0,0.0,19.29,23.4,54.4
Ho Chi Minh City,10.82,106.63,2019-01-05,31.4,23.9,26.9,0.0,20.7,17.7,31.0
Ho Chi Minh City,10.82,106.63,2019-01-06,31.9,22.5,26.8,0.0,20.17,18.4,40.0
Ho Chi Minh City,10.82,106.63,2019-01-07,31.6,21.4,26.4,0.0,21.48,10.8,18.4
Ho Chi Minh City,10.82,106.63,2019-01-08,29.7,21.1,25.7,0.1,15.44,16.9,25.2
Ho Chi Minh City,10.82,106.63,2019-01-09,31.9,21.5,26.3,0.0,20.82,14.2,24.8
Ho Chi Minh City,10.82,106.63,2019-01-10,32.2,22.9,27.0,0.0,20.29,16.9,31.0
Ho Chi Minh City,10.82,106.63,2019-01-11,31.5,21.6,26.5,0.2,19.21,11.2,17.6
Ho Chi Minh City,10.82,106.63,2019-01-12,30.1,23.9,26.7,0.0,10.87,11.3,21.2
Ho Chi Minh City,10.82,106.63,2019-01-13,31.9,23.8,27.4,0.1,19.92,15.6,24.1
Ho Chi Minh City,10.82,106.63,2019-01-14,32.7,22.4,27.1,0.0,21.34,15.1,25.6
Ho Chi Minh City,10.82,106.63,2019-01-15,32.0,23.9,27.2,0.5,16.45,15.9,28.8
Ho Chi Minh City,10.82,106.63,2019-01-16,32.5,23.8,27.8,0.0,18.04,15.7,32.4
Ho Chi Minh City,10.82,106.63,2019-01-17,33.0,24.5,28.0,0.4,18.35,19.1,35.6
Ho Chi Minh City,10.82,106.63,2019-01-18,32.6,22.2,27.5,0.0,20.75,14.2,29.2
Ho Chi Minh City,10.82,106.63,2019-01-19,33.2,21.6,27.4,0.0,21.61,18.6,34.6
Ho Chi Minh City,10.82,106.63,2019-01-20,33.5,24.3,28.1,0.1,18.96,18.0,32.4
Ho Chi Minh City,10.82,106.63,2019-01-21,34.3,23.7,28.1,0.0,19.36,18.9,32.8
Ho Chi Minh City,10.82,106.63,2019-01-22,32.1,24.0,27.6,0.8,19.42,16.5,29.5
Ho Chi Minh City,10.82,106.63,2019-01-23,32.7,22.2,27.0,0.0,20.17,21.7,37.1
Ho Chi Minh City,10.82,106.63,2019-01-24,31.9,20.7,26.2,0.0,21.56,17.7,29.9
Ho Chi Minh City,10.82,106.63,2019-01-25,33.2,20.5,26.7,0.0,22.71,15.8,28.4
Ho Chi Minh City,10.82,106.63,2019-01-26,33.2,20.6,26.6,0.0,20.14,17.9,31.3
Ho Chi Minh City,10.82,106.63,2019-01-27,32.8,22.1,27.1,0.0,19.45,16.5,27.7
Ho Chi Minh City,10.82,106.63,2019-01-28,32.8,22.1,27.1,0.0,19.04,18.8,34.6
