city,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,wind_gusts_10m_max
Ho Chi Minh City,10.82,106.63,2025-01-19,31.8,21.6,26.4,0.0,17.38,10.4,22.3
Ho Chi Minh City,10.82,106.63,2025-01-20,31.8,21.8,26.3,0.0,17.4,13.2,28.8
Ho Chi Minh City,10.82,106.63,2025-01-21,32.8,21.0,26.5,0.0,21.3,10.0,27.7
Ho Chi Minh City,10.82,106.63,2025-01-22,34.0,21.2,26.5,0.0,21.24,16.9,40.7
Ho Chi Minh City,10.82,106.63,2025-01-23,34.2,22.8,27.7,0.0,17.66,10.9,26.3
Ho Chi Minh City,10.82,106.63,2025-01-24,34.8,23.0,27.8,0.3,19.93,12.6,33.5
Ho Chi Minh City,10.82,106.63,2025-01-25,34.3,23.6,27.7,0.0,18.91,13.9,33.8
Ho Chi Minh City,10.82,106.63,2025-01-26,34.0,23.8,27.9,0.4,20.73,15.0,34.6
Ho Chi Minh City,10.82,106.63,2025-01-27,32.6,21.6,26.8,0.0,20.77,12.1,31.3
Ho Chi Minh City,10.82,106.63,2025-01-28,32.8,21.4,26.5,0.0,19.92,11.4,25.6
Ho Chi Minh City,10.82,106.63,2025-01-29,31.9,19.5,25.4,0.0,22.08,12.6,28.8
Ho Chi Minh City,10.82,106.63,2025-01-30,30.6,20.3,25.6,0.0,18.0,8.1,22.7
Ho Chi Minh City,10.82,106.63,2025-01-31,32.8,20.4,26.9,0.0,21.45,9.8,29.9
Ho Chi Minh City,10.82,106.63,2025-02-01,33.8,22.4,27.4,0.0,21.74,14.4,33.8
Ho Chi Minh City,10.82,106.63,2025-02-02,34.6,22.0,27.6,0.0,22.56,13.5,30.6
Ho Chi Minh City,10.82,106.63,2025-02-03,34.6,23.2,28.1,0.0,21.84,12.7,29.2
Ho Chi Minh City,10.82,106.63,2025-02-04,34.3,23.8,28.2,0.0,22.18,12.0,30.6
Ho Chi Minh City,10.82,106.63,2025-02-05,34.0,22.0,27.2,0.0,22.97,17.2,38.9
Ho Chi Minh City,10.82,106.63,2025-02-06,33.2,21.7,26.8,0.0,22.49,13.8,32.4
Ho Chi Minh City,10.82,106.63,2025-02-07,33.8,21.6,27.4,0.0,22.34,11.8,30.2
Ho Chi Minh City,10.82,106.63,2025-02-08,34.7,22.9,28.0,0.0,22.74,12.1,31.0
Ho Chi Minh City,10.82,106.63,2025-02-09,33.0,21.5,27.1,0.0,21.8,12.5,27.7
Ho Chi Minh City,10.82,106.63,2025-02-10,33.4,22.8,27.5,0.0,17.27,11.5,27.7
Ho Chi Minh City,10.82,106.63,2025-02-11,34.4,24.4,28.1,7.6,19.18,17.2,35.3
Ho Chi Minh City,10.82,106.63,2025-02-12,32.6,23.5,27.7,6.7,20.75,10.3,24.1
Ho Chi Minh City,10.82,106.63,2025-02-13,31.0,24.0,26.6,4.7,14.27,9.4,22.0
Ho Chi Minh City,10.82,106.63,2025-02-14,31.6,23.6,27.0,5.2,19.31,9.6,21.2
Ho Chi Minh City,10.82,106.63,2025-02-15,31.8,23.2,26.8,2.4,20.54,13.4,31.3
Ho Chi Minh City,10.82,106.63,2025-02-16,32.6,23.6,27.5,0.6,21.14,13.5,29.2
Ho Chi Minh City,10.82,106.63,2025-02-17,33.0,23.1,27.6,0.2,22.22,12.5,28.1
Ho Chi Minh City,10.82,106.63,2025-02-18,34.0,23.5,27.8,1.2,20.8,15.3,38.9
Ho Chi Minh City,10.82,106.63,2025-02-19,33.7,23.3,27.2,11.8,18.93,12.6,42.1
Ho Chi Minh City,10.82,106.63,2025-02-20,34.2,23.7,28.2,0.3,21.9,12.9,31.7
Ho Chi Minh City,10.82,106.63,2025-02-21,33.8,24.8,28.0,2.2,20.18,10.9,34.6
Ho Chi Minh City,10.82,106.63,2025-02-22,31.8,23.8,27.0,1.7,18.65,12.6,38.5
Ho Chi Minh City,10.82,106.63,2025-02-23,31.5,24.4,27.4,1.5,16.11,16.9,45.0
Ho Chi Minh City,10.82,106.63,2025-02-24,32.7,24.4,27.8,0.2,18.18,18.6,44.3
Ho Chi Minh City,10.82,106.63,2025-02-25,32.2,22.9,27.8,0.2,20.38,15.6,38.9
Ho Chi Minh City,10.82,106.63,2025-02-26,34.2,24.4,28.5,0.1,21.03,8.3,29.5
Ho Chi Minh City,10.82,106.63,2025-02-27,35.2,24.1,28.7,0.0,19.96,13.7,33.1
Ho Chi Minh City,10.82,106.63,2025-02-28,35.9,24.1,28.9,0.0,23.18,17.0,40.0
Ho Chi Minh City,10.82,106.63,2025-03-01,36.3,24.0,28.3,0.0,22.08,18.5,46.4
Ho Chi Minh City,10.82,106.63,2025-03-02,34.9,24.2,28.4,0.0,21.01,17.8,41.4
Ho Chi Minh City,10.82,106.63,2025-03-03,35.6,24.2,28.9,0.0,24.34,14.6,34.9
Ho Chi Minh City,10.82,106.63,2025-03-04,35.5,24.4,29.0,0.0,22.65,14.5,33.1
Ho Chi Minh City,10.82,106.63,2025-03-05,36.0,25.1,29.2,0.0,22.34,14.9,36.0
Ho Chi Minh City,10.82,106.63,2025-03-06,35.0,25.5,29.1,0.6,22.37,14.3,37.8
Ho Chi Minh City,10.82,106.63,2025-03-07,35.7,25.0,29.2,0.8,22.6,13.9,37.8
Ho Chi Minh City,10.82,106.63,2025-03-08,35.2,24.5,29.3,0.9,23.26,13.4,31.0
Ho Chi Minh City,10.82,106.63,2025-03-09,32.1,24.9,28.8,0.9,11.89,8.8,23.4
Ho Chi Minh City,10.82,106.63,2025-03-10,35.2,24.8,29.6,6.2,21.06,15.7,40.7
Ho Chi Minh City,10.82,106.63,2025-03-11,36.3,25.1,30.3,0.0,22.59,16.5,38.2
Ho Chi Minh City,10.82,106.63,2025-03-12,36.6,25.7,30.0,1.0,22.85,15.8,36.7
Ho Chi Minh City,10.82,106.63,2025-03-13,35.8,25.8,29.7,0.0,23.52,17.1,41.8
Ho Chi Minh City,10.82,106.63,2025-03-14,36.5,25.1,29.6,0.0,24.61,17.0,41.0
Ho Chi Minh City,10.82,106.63,2025-03-15,36.4,24.9,29.4,0.0,22.85,14.7,37.4
Ho Chi Minh City,10.82,106.63,2025-03-16,35.2,25.4,29.0,1.6,22.19,17.1,40.0
Ho Chi Minh City,10.82,106.63,2025-03-17,35.5,23.5,28.7,8.2,21.26,11.9,32.4
Ho Chi Minh City,10.82,106.63,2025-03-18,35.2,24.4,29.3,1.1,23.28,10.4,28.1
Ho Chi Minh City,10.82,106.63,2025-03-19,36.2,25.5,30.2,0.0,24.71,12.4,32.0
Ho Chi Minh City,10.82,106.63,2025-03-20,35.7,23.5,29.1,0.0,24.12,15.1,34.6
Ho Chi Minh City,10.82,106.63,2025-03-21,36.2,23.9,29.4,0.0,24.2,13.5,32.0
Ho Chi Minh City,10.82,106.63,2025-03-22,36.0,24.2,29.6,0.0,23.88,13.0,31.7
Ho Chi Minh City,10.82,106.63,2025-03-23,35.5,24.9,29.1,0.0,22.86,13.9,38.2
Ho Chi Minh City,10.82,106.63,2025-03-24,36.5,23.9,28.6,0.0,24.57,20.1,46.8
Ho Chi Minh City,10.82,106.63,2025-03-25,33.0,24.5,27.7,0.0,17.04,15.7,38.2
Ho Chi Minh City,10.82,106.63,2025-03-26,34.2,23.8,28.1,0.0,20.14,12.3,29.9
Ho Chi Minh City,10.82,106.63,2025-03-27,35.3,24.1,28.5,0.0,25.35,14.0,36.0
Ho Chi Minh City,10.82,106.63,2025-03-28,34.8,23.6,28.6,0.1,24.09,14.0,34.9
Ho Chi Minh City,10.82,106.63,2025-03-29,35.7,25.1,29.2,0.4,20.36,16.6,41.4
Ho Chi Minh City,10.82,106.63,2025-03-30,37.0,26.0,29.9,2.1,23.07,18.1,44.6
Ho Chi Minh City,10.82,106.63,2025-03-31,33.6,25.0,28.9,2.9,13.72,10.9,25.2
Ho Chi Minh City,10.82,106.63,2025-04-01,32.5,24.9,27.2,21.0,14.57,9.0,26.6
Ho Chi Minh City,10.82,106.63,2025-04-02,29.3,24.4,26.6,0.8,14.71,13.0,32.0
Ho Chi Minh City,10.82,106.63,2025-04-03,32.9,23.9,27.7,0.1,24.07,11.7,23.8
Ho Chi Minh City,10.82,106.63,2025-04-04,33.5,23.2,27.8,0.0,24.0,13.1,30.6
Ho Chi Minh City,10.82,106.63,2025-04-05,33.6,23.9,28.0,0.0,24.2,13.9,33.1
Ho Chi Minh City,10.82,106.63,2025-04-06,33.8,24.5,28.4,0.0,25.02,14.1,32.8
Ho Chi Minh City,10.82,106.63,2025-04-07,36.1,24.6,29.2,0.0,25.68,15.6,38.5
Ho Chi Minh City,10.82,106.63,2025-04-08,35.4,24.9,29.5,0.1,21.14,15.1,38.2
Ho Chi Minh City,10.82,106.63,2025-04-09,35.8,25.6,29.4,1.3,22.95,14.7,41.8
Ho Chi Minh City,10.82,106.63,2025-04-10,35.7,25.8,29.6,1.3,20.16,9.9,30.2
Ho Chi Minh City,10.82,106.63,2025-04-11,34.3,25.8,29.0,1.0,21.55,12.2,29.2
Ho Chi Minh City,10.82,106.63,2025-04-12,35.5,25.2,29.9,0.4,23.77,12.1,27.7
Ho Chi Minh City,10.82,106.63,2025-04-13,36.3,26.4,30.1,1.7,21.22,14.7,37.4
Ho Chi Minh City,10.82,106.63,2025-04-14,36.5,26.3,30.1,4.7,23.96,14.7,41.8
Ho Chi Minh City,10.82,106.63,2025-04-15,35.5,26.3,30.2,1.7,20.55,15.4,35.3
Ho Chi Minh City,10.82,106.63,2025-04-16,35.6,26.6,29.9,1.8,22.26,15.8,37.1
Ho Chi Minh City,10.82,106.63,2025-04-17,36.3,26.2,30.1,1.7,22.46,12.7,32.4
Ho Chi Minh City,10.82,106.63,2025-04-18,36.0,25.5,30.1,1.6,23.17,13.7,32.0
Ho Chi Minh City,10.82,106.63,2025-04-19,35.9,26.2,30.3,0.4,23.93,14.0,35.3
Ho Chi Minh City,10.82,106.63,2025-04-20,36.7,26.0,30.4,0.0,25.32,14.5,36.7
Ho Chi Minh City,10.82,106.63,2025-04-21,35.7,26.4,30.0,1.9,22.89,15.7,38.5
Ho Chi Minh City,10.82,106.63,2025-04-22,33.2,26.6,29.2,3.9,21.62,15.5,40.0
Ho Chi Minh City,10.82,106.63,2025-04-23,35.8,25.7,29.3,2.8,22.62,12.7,40.0
Ho Chi Minh City,10.82,106.63,2025-04-24,34.9,25.4,28.6,4.5,21.8,14.6,35.6
Ho Chi Minh City,10.82,106.63,2025-04-25,34.7,25.6,29.4,3.0,22.37,10.1,25.6
Ho Chi Minh City,10.82,106.63,2025-04-26,34.0,24.9,28.4,15.2,19.7,17.2,36.7
Ho Chi Minh City,10.82,106.63,2025-04-27,34.0,24.5,28.9,0.0,24.08,12.9,27.4
Ho Chi Minh City,10.82,106.63,2025-04-28,36.1,25.9,30.1,0.0,24.65,15.1,36.0
Ho Chi Minh City,10.82,106.63,2025-04-29,36.7,25.9,30.7,0.1,23.66,15.5,35.3
Ho Chi Minh City,10.82,106.63,2025-04-30,36.8,26.6,31.1,0.0,24.47,15.5,35.6
Ho Chi Minh City,10.82,106.63,2025-05-01,36.0,27.8,30.3,2.5,19.23,12.4,35.6
Ho Chi Minh City,10.82,106.63,2025-05-02,34.9,27.1,29.9,3.2,21.42,15.7,40.7
Ho Chi Minh City,10.82,106.63,2025-05-03,32.0,26.0,28.1,7.6,21.02,12.8,33.8
Ho Chi Minh City,10.82,106.63,2025-05-04,33.2,25.2,28.8,1.1,22.31,12.6,32.4
Ho Chi Minh City,10.82,106.63,2025-05-05,33.5,25.6,29.0,0.9,22.74,14.4,34.6
Ho Chi Minh City,10.82,106.63,2025-05-06,34.5,25.6,29.4,3.7,22.62,12.2,34.6
Ho Chi Minh City,10.82,106.63,2025-05-07,35.3,25.9,29.8,3.7,23.33,12.3,34.2
Ho Chi Minh City,10.82,106.63,2025-05-08,37.3,26.0,30.9,0.4,24.45,18.2,43.6
Ho Chi Minh City,10.82,106.63,2025-05-09,37.2,27.3,31.1,1.4,21.3,11.9,42.5
Ho Chi Minh City,10.82,106.63,2025-05-10,30.2,26.0,28.0,8.0,9.32,11.6,25.6
Ho Chi Minh City,10.82,106.63,2025-05-11,32.8,25.0,27.8,10.5,19.07,12.3,28.8
Ho Chi Minh City,10.82,106.63,2025-05-12,32.3,25.0,27.6,7.5,20.66,11.9,33.1
Ho Chi Minh City,10.82,106.63,2025-05-13,32.8,24.5,27.4,7.7,20.69,12.3,27.7
Ho Chi Minh City,10.82,106.63,2025-05-14,33.3,25.8,28.7,5.9,22.54,13.6,32.8
Ho Chi Minh City,10.82,106.63,2025-05-15,32.2,25.5,27.7,12.1,19.38,9.5,36.4
Ho Chi Minh City,10.82,106.63,2025-05-16,33.2,25.5,28.5,5.7,22.33,12.1,34.2
Ho Chi Minh City,10.82,106.63,2025-05-17,32.3,25.4,28.7,3.3,23.57,13.0,33.1
Ho Chi Minh City,10.82,106.63,2025-05-18,33.7,25.9,29.1,1.4,22.92,10.4,35.3
Ho Chi Minh City,10.82,106.63,2025-05-19,32.8,25.8,27.8,14.1,18.77,15.3,40.0
Ho Chi Minh City,10.82,106.63,2025-05-20,32.0,25.0,28.2,1.2,19.58,10.8,28.8
Ho Chi Minh City,10.82,106.63,2025-05-21,33.3,25.0,27.9,12.0,20.73,12.8,30.2
Ho Chi Minh City,10.82,106.63,2025-05-22,31.8,23.9,26.9,32.0,18.1,11.8,31.0
Ho Chi Minh City,10.82,106.63,2025-05-23,31.6,25.3,27.6,9.9,19.34,9.5,27.7
Ho Chi Minh City,10.82,106.63,2025-05-24,30.6,25.4,27.0,17.7,16.97,11.0,28.8
Ho Chi Minh City,10.82,106.63,2025-05-25,31.1,25.0,27.1,19.0,17.33,11.5,29.2
Ho Chi Minh City,10.82,106.63,2025-05-26,32.7,24.4,27.7,6.0,21.63,10.4,25.9
Ho Chi Minh City,10.82,106.63,2025-05-27,32.7,24.7,27.7,25.0,20.2,11.3,31.3
Ho Chi Minh City,10.82,106.63,2025-05-28,32.7,24.5,27.5,25.9,20.61,10.1,24.8
Ho Chi Minh City,10.82,106.63,2025-05-29,32.9,24.9,27.0,24.9,16.81,11.7,36.7
Ho Chi Minh City,10.82,106.63,2025-05-30,32.3,24.5,26.9,21.0,18.96,14.9,37.4
Ho Chi Minh City,10.82,106.63,2025-05-31,32.9,24.6,27.5,10.4,21.07,22.3,52.2
Ho Chi Minh City,10.82,106.63,2025-06-01,33.7,25.5,28.5,1.0,21.97,14.2,45.0
Ho Chi Minh City,10.82,106.63,2025-06-02,31.2,25.8,27.6,2.0,14.96,16.9,42.5
Ho Chi Minh City,10.82,106.63,2025-06-03,30.5,25.5,27.3,5.9,13.52,16.2,42.1
Ho Chi Minh City,10.82,106.63,2025-06-04,32.7,26.1,28.2,6.5,21.1,11.9,33.8
Ho Chi Minh City,10.82,106.63,2025-06-05,32.7,25.3,28.1,2.5,18.85,12.7,30.6
Ho Chi Minh City,10.82,106.63,2025-06-06,32.8,24.5,27.7,18.3,20.55,10.7,33.1
Ho Chi Minh City,10.82,106.63,2025-06-07,30.0,24.5,27.0,23.4,13.63,14.3,34.9
Ho Chi Minh City,10.82,106.63,2025-06-08,29.7,24.6,27.0,24.4,16.89,14.6,37.1
Ho Chi Minh City,10.82,106.63,2025-06-09,32.0,25.3,26.8,20.8,13.26,16.5,37.1
Ho Chi Minh City,10.82,106.63,2025-06-10,31.1,25.3,26.7,18.1,14.18,15.5,40.7
Ho Chi Minh City,10.82,106.63,2025-06-11,29.8,25.0,26.4,13.0,11.21,22.1,55.8
Ho Chi Minh City,10.82,106.63,2025-06-12,30.2,24.8,26.7,3.3,11.71,19.0,50.4
Ho Chi Minh City,10.82,106.63,2025-06-13,30.6,24.8,27.0,10.2,14.12,16.8,45.7
Ho Chi Minh City,10.82,106.63,2025-06-14,32.0,25.1,27.6,19.2,17.89,16.9,39.6
Ho Chi Minh City,10.82,106.63,2025-06-15,32.9,25.2,28.4,6.0,22.87,13.7,28.8
Ho Chi Minh City,10.82,106.63,2025-06-16,32.9,25.6,28.0,10.6,20.86,8.3,28.8
Ho Chi Minh City,10.82,106.63,2025-06-17,33.0,25.0,27.5,15.1,21.37,11.0,24.8
Ho Chi Minh City,10.82,106.63,2025-06-18,32.4,24.6,27.2,8.1,20.03,12.4,27.7
Ho Chi Minh City,10.82,106.63,2025-06-19,32.5,24.0,27.3,8.2,20.88,11.8,31.3
Ho Chi Minh City,10.82,106.63,2025-06-20,32.2,24.0,27.2,15.2,19.53,10.6,28.4
Ho Chi Minh City,10.82,106.63,2025-06-21,31.7,24.1,26.6,3.0,20.24,13.4,38.2
Ho Chi Minh City,10.82,106.63,2025-06-22,30.6,24.5,26.5,11.7,17.66,16.8,44.3
Ho Chi Minh City,10.82,106.63,2025-06-23,31.8,24.5,27.4,2.0,23.41,16.4,38.5
Ho Chi Minh City,10.82,106.63,2025-06-24,31.9,24.5,27.1,11.1,18.05,18.8,41.0
Ho Chi Minh City,10.82,106.63,2025-06-25,31.2,24.9,26.7,19.1,16.14,14.3,39.2
Ho Chi Minh City,10.82,106.63,2025-06-26,29.8,24.4,26.1,26.0,14.59,10.4,42.5
Ho Chi Minh City,10.82,106.63,2025-06-27,31.1,24.1,26.8,13.0,18.88,13.4,38.9
Ho Chi Minh City,10.82,106.63,2025-06-28,31.0,24.8,26.8,19.8,18.68,19.7,42.8
Ho Chi Minh City,10.82,106.63,2025-06-29,31.6,24.6,27.2,5.9,21.18,23.4,51.1
Ho Chi Minh City,10.82,106.63,2025-06-30,32.9,24.5,27.9,0.9,22.93,16.4,38.5
Ho Chi Minh City,10.82,106.63,2025-07-01,30.9,24.9,26.9,16.7,15.57,9.9,28.4
Ho Chi Minh City,10.82,106.63,2025-07-02,31.0,24.0,26.5,21.0,17.71,14.3,36.0
Ho Chi Minh City,10.82,106.63,2025-07-03,32.1,24.2,26.7,10.6,19.61,11.8,37.8
Ho Chi Minh City,10.82,106.63,2025-07-04,31.9,24.0,27.4,2.4,22.49,17.3,42.8
Ho Chi Minh City,10.82,106.63,2025-07-05,32.4,24.8,27.6,9.9,20.89,15.3,40.7
Ho Chi Minh City,10.82,106.63,2025-07-06,31.2,25.5,27.5,10.4,18.06,13.4,37.1
Ho Chi Minh City,10.82,106.63,2025-07-07,31.1,24.8,26.7,16.0,16.83,16.6,42.1
Ho Chi Minh City,10.82,106.63,2025-07-08,31.1,24.6,27.0,15.0,20.11,16.3,38.5
Ho Chi Minh City,10.82,106.63,2025-07-09,30.4,24.6,26.9,25.4,20.39,15.1,46.4
Ho Chi Minh City,10.82,106.63,2025-07-10,32.2,24.3,27.5,6.3,21.54,22.0,51.1
Ho Chi Minh City,10.82,106.63,2025-07-11,31.8,25.4,27.8,6.5,19.21,16.1,49.0
Ho Chi Minh City,10.82,106.63,2025-07-12,31.9,25.1,27.4,18.1,19.49,12.1,41.4
Ho Chi Minh City,10.82,106.63,2025-07-13,31.6,25.2,27.4,7.8,18.28,14.8,36.4
Ho Chi Minh City,10.82,106.63,2025-07-14,31.4,24.9,27.1,19.8,18.01,12.8,39.2
Ho Chi Minh City,10.82,106.63,2025-07-15,30.8,24.7,27.1,15.7,21.11,15.2,42.1
Ho Chi Minh City,10.82,106.63,2025-07-16,30.6,24.5,26.7,11.1,18.09,13.2,42.8
Ho Chi Minh City,10.82,106.63,2025-07-17,28.7,24.6,26.7,15.1,15.7,15.2,37.4
Ho Chi Minh City,10.82,106.63,2025-07-18,30.0,24.9,26.5,11.0,13.97,14.8,40.0
Ho Chi Minh City,10.82,106.63,2025-07-19,31.8,25.0,27.1,12.1,15.57,18.3,54.7
Ho Chi Minh City,10.82,106.63,2025-07-20,29.9,25.2,27.1,3.4,17.79,17.1,60.8
Ho Chi Minh City,10.82,106.63,2025-07-21,31.0,24.7,27.2,5.4,15.55,21.9,62.6
Ho Chi Minh City,10.82,106.63,2025-07-22,32.5,25.1,28.4,2.0,22.06,22.6,62.6
Ho Chi Minh City,10.82,106.63,2025-07-23,31.4,25.4,28.1,18.4,19.85,16.8,51.8
Ho Chi Minh City,10.82,106.63,2025-07-24,33.0,25.9,28.9,0.0,19.32,15.4,42.8
Ho Chi Minh City,10.82,106.63,2025-07-25,33.2,24.8,28.7,4.0,22.24,18.8,46.1
Ho Chi Minh City,10.82,106.63,2025-07-26,32.8,25.2,28.3,1.1,15.36,15.5,41.8
Ho Chi Minh City,10.82,106.63,2025-07-27,31.1,25.3,27.2,15.9,15.97,17.2,47.5
Ho Chi Minh City,10.82,106.63,2025-07-28,30.0,24.6,26.9,3.6,16.68,20.8,48.6
Ho Chi Minh City,10.82,106.63,2025-07-29,30.8,25.6,27.9,14.7,18.75,17.9,54.7
Ho Chi Minh City,10.82,106.63,2025-07-30,32.2,26.0,28.7,0.3,21.69,18.4,51.1
Ho Chi Minh City,10.82,106.63,2025-07-31,32.3,25.7,28.0,11.5,20.31,14.7,42.8
Ho Chi Minh City,10.82,106.63,2025-08-01,32.3,25.4,28.4,0.8,21.3,15.6,39.2
Ho Chi Minh City,10.82,106.63,2025-08-02,32.5,25.6,28.6,1.7,22.38,12.6,34.6
Ho Chi Minh City,10.82,106.63,2025-08-03,33.4,25.5,28.4,3.2,23.47,13.0,50.4
Ho Chi Minh City,10.82,106.63,2025-08-04,33.7,24.8,28.1,9.0,23.39,11.5,42.8
Ho Chi Minh City,10.82,106.63,2025-08-05,33.2,25.3,28.1,4.8,23.21,15.5,44.6
Ho Chi Minh City,10.82,106.63,2025-08-06,32.8,25.0,27.7,7.6,21.51,16.1,35.6
Ho Chi Minh City,10.82,106.63,2025-08-07,33.2,24.5,28.4,1.7,23.63,11.7,27.7
Ho Chi Minh City,10.82,106.63,2025-08-08,33.7,24.5,28.3,6.8,22.59,10.1,29.9
Ho Chi Minh City,10.82,106.63,2025-08-09,32.5,23.8,27.2,27.9,18.26,11.9,39.6
Ho Chi Minh City,10.82,106.63,2025-08-10,32.8,23.1,26.8,7.8,23.95,13.2,37.4
Ho Chi Minh City,10.82,106.63,2025-08-11,31.5,24.1,26.5,13.5,18.93,16.0,41.0
Ho Chi Minh City,10.82,106.63,2025-08-12,31.4,24.1,26.8,4.4,19.35,12.7,32.0
Ho Chi Minh City,10.82,106.63,2025-08-13,31.0,24.2,26.5,17.1,17.34,16.5,37.4
Ho Chi Minh City,10.82,106.63,2025-08-14,32.0,23.5,26.2,35.1,15.36,10.7,26.6
Ho Chi Minh City,10.82,106.63,2025-08-15,31.0,23.9,26.0,17.5,16.16,19.0,43.2
Ho Chi Minh City,10.82,106.63,2025-08-16,29.1,23.9,25.1,28.8,10.4,16.8,35.3
Ho Chi Minh City,10.82,106.63,2025-08-17,30.1,23.7,25.7,17.0,16.15,15.3,39.6
Ho Chi Minh City,10.82,106.63,2025-08-18,31.6,23.6,27.1,0.6,22.26,13.7,35.6
Ho Chi Minh City,10.82,106.63,2025-08-19,32.1,24.4,27.6,3.0,22.73,9.6,36.0
Ho Chi Minh City,10.82,106.63,2025-08-20,33.0,23.5,27.3,28.5,21.64,17.5,34.6
Ho Chi Minh City,10.82,106.63,2025-08-21,27.9,23.1,24.8,45.9,8.59,10.3,24.1
Ho Chi Minh City,10.82,106.63,2025-08-22,30.9,22.9,26.2,4.8,22.21,17.3,41.8
Ho Chi Minh City,10.82,106.63,2025-08-23,30.7,23.6,26.7,11.6,19.35,12.4,42.8
Ho Chi Minh City,10.82,106.63,2025-08-24,31.1,24.6,26.6,15.5,17.31,15.0,41.8
Ho Chi Minh City,10.82,106.63,2025-08-25,28.9,24.4,26.0,13.7,13.96,22.3,53.6
Ho Chi Minh City,10.82,106.63,2025-08-26,29.1,24.1,26.4,4.8,11.62,15.2,40.7
Ho Chi Minh City,10.82,106.63,2025-08-27,30.6,24.4,26.5,11.4,15.48,10.5,33.8
Ho Chi Minh City,10.82,106.63,2025-08-28,32.0,23.6,26.6,29.7,21.73,15.8,45.0
Ho Chi Minh City,10.82,106.63,2025-08-29,31.7,23.4,26.3,34.7,19.1,15.7,42.8
Ho Chi Minh City,10.82,106.63,2025-08-30,31.0,24.8,26.6,8.2,19.8,20.1,49.7
Ho Chi Minh City,10.82,106.63,2025-08-31,32.0,24.4,26.7,23.5,18.41,12.8,29.5
Ho Chi Minh City,10.82,106.63,2025-09-01,30.8,24.6,26.5,7.2,16.08,17.6,42.8
Ho Chi Minh City,10.82,106.63,2025-09-02,29.8,24.4,25.8,44.4,12.15,12.8,33.8
Ho Chi Minh City,10.82,106.63,2025-09-03,30.4,24.0,26.3,12.7,16.86,11.5,32.4
Ho Chi Minh City,10.82,106.63,2025-09-04,31.2,23.9,26.6,15.4,19.77,12.3,29.9
Ho Chi Minh City,10.82,106.63,2025-09-05,31.7,24.5,26.9,25.6,16.8,9.9,26.3
Ho Chi Minh City,10.82,106.63,2025-09-06,31.9,23.6,26.7,24.6,17.53,12.7,29.9
Ho Chi Minh City,10.82,106.63,2025-09-07,28.8,23.8,25.7,40.3,10.87,14.6,38.5
Ho Chi Minh City,10.82,106.63,2025-09-08,31.5,24.1,26.4,13.4,18.63,18.8,42.8
Ho Chi Minh City,10.82,106.63,2025-09-09,30.8,24.1,26.5,10.9,16.23,21.1,45.7
Ho Chi Minh City,10.82,106.63,2025-09-10,31.8,24.0,26.9,6.6,21.77,8.4,24.1
Ho Chi Minh City,10.82,106.63,2025-09-11,32.2,23.8,26.6,5.5,20.42,11.4,31.3
Ho Chi Minh City,10.82,106.63,2025-09-12,31.2,23.5,26.5,12.0,19.83,17.6,38.9
Ho Chi Minh City,10.82,106.63,2025-09-13,30.0,24.4,26.6,6.4,14.98,14.5,33.1
