city,latitude,longitude,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,wind_gusts_10m_max
Ho Chi Minh City,10.82,106.63,2025-01-01,28.5,22.3,25.3,0.0,11.29,9.4,23.0
Ho Chi Minh City,10.82,106.63,2025-01-02,30.6,22.4,26.0,0.3,15.94,8.6,20.9
Ho Chi Minh City,10.82,106.63,2025-01-03,30.5,23.4,26.6,0.8,13.77,8.3,23.0
Ho Chi Minh City,10.82,106.63,2025-01-04,31.7,22.3,26.9,0.2,19.85,12.0,25.2
Ho Chi Minh City,10.82,106.63,2025-01-05,33.1,22.6,27.1,0.0,19.53,10.2,24.8
Ho Chi Minh City,10.82,106.63,2025-01-06,32.4,21.9,27.0,0.0,17.13,10.1,21.6
Ho Chi Minh City,10.82,106.63,2025-01-07,32.5,21.5,27.0,0.0,19.34,11.4,26.3
Ho Chi Minh City,10.82,106.63,2025-01-08,33.1,22.5,27.4,0.0,19.1,11.8,26.6
Ho Chi Minh City,10.82,106.63,2025-01-09,32.6,22.1,27.2,0.0,18.85,9.5,22.0
Ho Chi Minh City,10.82,106.63,2025-01-10,33.6,23.9,28.1,0.0,18.49,13.1,29.5
Ho Chi Minh City,10.82,106.63,2025-01-11,33.0,22.3,27.1,0.0,20.15,14.5,34.6
Ho Chi Minh City,10.82,106.63,2025-01-12,31.8,21.3,26.3,0.0,21.09,12.7,31.0
Ho Chi Minh City,10.82,106.63,2025-01-13,31.0,19.5,25.4,0.0,20.47,9.9,26.3
Ho Chi Minh City,10.82,106.63,2025-01-14,34.0,22.0,26.4,9.5,18.23,13.7,30.6
Ho Chi Minh City,10.82,106.63,2025-01-15,31.0,23.2,26.5,5.3,16.1,8.9,31.3
Ho Chi Minh City,10.82,106.63,2025-01-16,31.2,23.3,26.8,0.7,19.41,15.3,31.7
Ho Chi Minh City,10.82,106.63,2025-01-17,30.4,20.8,25.3,0.0,21.13,11.4,25.2
Ho Chi Minh City,10.82,106.63,2025-01-18,31.0,20.4,25.6,0.0,19.59,9.7,18.7
